	shannon	simpson_reciprocal	PD_whole_tree	chao1	observed_species
ITX7	5.49558823458	15.3891393178	56.06818	621.9375	356.0
ITX2	7.25559715478	40.453874043	101.9766	1015.24731183	895.0
ITX5	7.77626364505	70.1297117517	122.52188	1044.17123288	788.0
ITX10	7.02928395976	35.8840398522	123.49097	1014.11538462	743.0
ITX11	5.56721671486	14.3149976051	85.87746	754.518518519	481.0
ITX8	6.54193304179	33.2324140641	66.35514	726.095890411	448.0
ITX9	5.95665261808	18.5065929	72.53279	763.5625	494.0
ITX6	7.68475025224	83.4962831286	87.00064	788.629213483	513.0
ITX12	4.40109050047	7.10563392714	40.77322	410.62	263.0
ITX1	5.5937508799	12.2302434671	110.7766	1084.72159091	858.0
