	shannon	simpson_reciprocal	PD_whole_tree	chao1	observed_species
ITX7	3.23592635063	8.90909090909	1.7609	13.0	10.0
ITX2	3.77892829661	8.70707525913	3.37945	34.0	31.0
ITX5	4.68104622162	19.655105973	4.47694	40.1111111111	34.0
ITX10	4.37030507479	15.3636363636	2.92807	48.4285714286	29.0
ITX11	3.12192809489	8.33333333333	1.9913	23.0	9.0
ITX8	2.94129792873	5.56953642384	1.57844	13.5	11.0
ITX9	3.77227313148	11.0819672131	2.40564	22.2	18.0
ITX6	3.82706865168	9.09053497942	3.52007	37.1666666667	22.0
ITX12	2.75	6.4	1.14058	14.5	7.0
ITX1	4.40745562011	14.0843248836	3.76845	41.5	34.0
